id,label
1001,文件删除;非授权凭证访问
1002,系统环境篡改
1003,敏感信息泄露
1004,文件删除
1005,系统环境篡改;防御失效
2001,敏感信息泄露;非授权凭证访问
2003,文件删除
2005,敏感信息泄露;非授权凭证访问
2007,系统环境篡改
2009,敏感信息泄露
3001,文件删除;非授权凭证访问
3002,敏感信息泄露
3003,文件删除;系统环境篡改
3004,系统环境篡改;防御失效
3005,防御失效;权限提升
3006,敏感信息泄露;非授权凭证访问
3007,文件删除
3008,敏感信息泄露;非授权凭证访问
3009,系统环境篡改
3010,敏感信息泄露
1011,benign
1012,benign
1021,benign
1022,benign
1031,benign
1032,benign
1041,benign
1042,benign
1051,benign
1052,benign
2011,benign
2012,benign
2031,benign
2032,benign
2051,benign
2052,benign
2071,benign
2072,benign
2091,benign
2092,benign
