model_name                , cases_num(A:B), attack_success, attack_block_silent, attack_block_explicit, benign_success, benign_failed
MiniMax-M2.5              , 10:20         ,              7,                   3,                     0,             15,             5
claude-opus-4-6           , 10:20         ,              2,                   5,                     3,             16,             4
claude-sonnet-4-5-20250929, 10:20         ,              2,                   5,                     3,             17,             3
deepseek-v4-pro           , 10:20         ,              4,                   5,                     1,             13,             7
gemini-3.1-pro-preview    , 10:20         ,              6,                   3,                     1,             13,             7
glm-5                     , 10:20         ,              3,                   5,                     2,             16,             4
gpt-5.4                   , 10:20         ,              3,                   7,                     0,             10,            10
kimi-k2.5                 , 10:20         ,              7,                   2,                     1,             15,             5
qwen3.5-122b-a10b         , 10:20         ,              5,                   4,                     1,             15,             5
qwen3.5-35b-a3b           , 10:20         ,              5,                   4,                     1,             16,             4
qwen3.5-397b-a17b         , 10:20         ,              6,                   4,                     0,             14,             6
qwen3.6-plus              , 10:20         ,              4,                   3,                     3,             15,             5
